===== LOC Results =====
document,traverse_component,traverseTimes,locate_component,search_component,NOD,DEF,OCC,LOC,DEG,DEP,gotoDefinition,rename,completion
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_10000/LOC_combined_10000.dl,108.00016666666666,2.0,0.334,8976.321233333334,266495.0,2662.0,18235.0,9822.0,6.0,7470.0,0.3336333333333333,11.0,210.69063333333335
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_1200/LOC_combined_1200.dl,15.745599999999998,2.0,0.0,897.9647333333334,32581.0,296.0,2190.0,1128.0,6.0,911.0,0.0,1.6673333333333333,29.666
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_1600/LOC_combined_1600.dl,27.0057,2.0,0.0,1168.7449333333334,45887.0,378.0,2883.0,1545.0,6.0,1154.0,0.0,1.9993,48.44343333333333
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_2000/LOC_combined_2000.dl,22.832616666666667,2.0,0.0,1325.9463,51004.0,423.0,3150.0,2011.0,6.0,1324.0,0.0,2.3331,44.33193333333333
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_2400/LOC_combined_2400.dl,30.999033333333333,2.0,0.0,1647.2245333333333,64725.0,557.0,4186.0,2327.0,6.0,1663.0,0.0,2.3332333333333333,61.000766666666664
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_2800/LOC_combined_2800.dl,33.50333333333334,2.0,0.0,2005.8707666666667,60971.0,725.0,4381.0,2728.0,6.0,2008.0,0.0,2.9991000000000003,61.66636666666667
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_3200/LOC_combined_3200.dl,36.16265,2.0,0.0,2479.4514666666664,80569.0,841.0,5659.0,3183.0,6.0,2557.0,0.0,3.6682333333333332,72.33803333333333
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_3600/LOC_combined_3600.dl,41.16355,2.0,0.0,2647.6661666666664,92565.0,855.0,6227.0,3496.0,6.0,2664.0,0.33303333333333335,3.6654666666666667,82.99896666666667
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_400/LOC_combined_400.dl,4.666033333333332,2.0,0.0,268.67316666666665,8821.0,84.0,564.0,372.0,5.0,259.0,0.33349999999999996,0.6665333333333333,9.665966666666668
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_4000/LOC_combined_4000.dl,45.499516666666665,2.0,0.0,3027.141133333333,104063.0,954.0,6927.0,3906.0,6.0,2892.0,0.0,4.3335,89.66603333333335
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_4400/LOC_combined_4400.dl,53.16988333333333,2.0,0.0,3625.9196666666667,109107.0,1297.0,7872.0,4317.0,6.0,3435.0,0.0,4.998433333333334,104.66616666666668
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_4800/LOC_combined_4800.dl,58.66625,2.0,0.0,3995.5191,125355.0,1183.0,8592.0,4664.0,6.0,3838.0,0.0,5.6662333333333335,116.0004
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_5200/LOC_combined_5200.dl,58.70556666666667,2.0,0.0,4705.868300000001,131391.0,1700.0,9967.0,5131.0,6.0,4298.0,0.0,6.6662333333333335,115.33123333333333
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_5600/LOC_combined_5600.dl,62.46456666666666,2.0,0.33349999999999996,4391.3082,150881.0,1385.0,10028.0,5537.0,6.0,4168.0,0.0,6.3318666666666665,127.32956666666666
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_6000/LOC_combined_6000.dl,69.66705,2.0,0.0,5486.292266666666,148161.0,1696.0,10621.0,5983.0,6.0,4839.0,0.0,6.995933333333333,143.66753333333335
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_6400/LOC_combined_6400.dl,76.56563333333334,2.0,0.3330666666666667,6029.3783,177971.0,2017.0,12584.0,6291.0,6.0,5094.0,0.6669,8.333066666666667,143.995
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_6800/LOC_combined_6800.dl,77.4997,2.0,0.0,6214.990133333333,174089.0,1904.0,12223.0,6715.0,6.0,5403.0,0.0,7.662366666666666,148.33303333333333
d:/work24/souffle-lsp-plugin/gen_datasets/LOC/LOC_combined_7200/LOC_combined_7200.dl,76.16571666666665,2.0,0.0,6978.038366666668,195642.0,1703.0,12998.0,7076.0,6.0,5794.0,0.0,8.664733333333334,155.00003333333333
